
2024/02/24 (23:24:12) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/02/25 (01:29:35) | ===> btop++ v.1.3.2
2024/02/25 (01:29:35) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/02/25 (01:40:21) | ===> btop++ v.1.3.2
2024/02/25 (01:40:21) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/02/25 (21:28:30) | ===> btop++ v.1.3.2
2024/02/25 (21:28:30) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/02/25 (22:52:16) | ===> btop++ v.1.3.2
2024/02/25 (22:52:16) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/02/25 (23:02:12) | ===> btop++ v.1.3.2
2024/02/25 (23:02:12) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/02/25 (23:02:58) | ===> btop++ v.1.3.2
2024/02/25 (23:02:58) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/02/25 (23:11:56) | ===> btop++ v.1.3.2
2024/02/25 (23:11:56) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/02/25 (23:59:19) | ===> btop++ v.1.3.2
2024/02/25 (23:59:19) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/02/26 (01:52:15) | ===> btop++ v.1.3.2
2024/02/26 (01:52:15) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/02/26 (01:52:33) | ===> btop++ v.1.3.2
2024/02/26 (01:52:33) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/02/26 (01:52:45) | ===> btop++ v.1.3.2
2024/02/26 (01:52:45) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/02/26 (01:55:20) | ===> btop++ v.1.3.2
2024/02/26 (01:55:20) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/02/26 (01:55:38) | ===> btop++ v.1.3.2
2024/02/26 (01:55:38) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/02/26 (02:03:41) | ===> btop++ v.1.3.2
2024/02/26 (02:03:41) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/02/26 (12:23:38) | ===> btop++ v.1.3.2
2024/02/26 (12:23:38) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/02/26 (17:13:01) | ===> btop++ v.1.3.2
2024/02/26 (17:13:01) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/02/26 (17:37:25) | ===> btop++ v.1.3.2
2024/02/26 (17:37:25) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/02/26 (18:46:44) | ===> btop++ v.1.3.2
2024/02/26 (18:46:44) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/02/26 (18:46:52) | ===> btop++ v.1.3.2
2024/02/26 (18:46:52) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/02/26 (18:46:56) | ===> btop++ v.1.3.2
